13:30;D83641;Copenhagen (CPH);Norwegian ;B738 (EI-FVJ) ;Departed 13:46;Departure
13:30;SU6640;Moscow (VKO);Rossiya ;B738 (VP-BUS) ;Departed 13:37;Departure
13:30;U21738;Toulouse (TLS);easyJet ;A319 (G-EZBO) ;Departed 13:41;Departure
13:30;U23994;Paris (CDG);easyJet ;A320 (OE-IJH) ;Departed 13:40;Departure
13:35;DY4316;Gothenburg (GOT);Norwegian ;B738 (LN-NHD) ;Departed 13:43;Departure
13:43;HS508;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
13:44;HS509;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
13:44;W25141;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
13:45;W25143;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
13:50;AF6217;Paris (ORY);Air France ;A320 (F-HBNG) ;Departed 13:59;Departure
13:50;DY1405;Oslo (OSL);Norwegian (Regine Normann Livery) ;B738 (LN-NGS) ;Departed 14:09;Departure
13:55;A54203;Lyon (LYS);Air France ;A320 (F-GKXE) ;Departed 14:00;Departure
13:55;BA347;London (LHR);British Airways ;A320 (G-EUUO) ;Departed 13:58;Departure
13:55;XK311;Calvi (CLY);Air Corsica ;AT75 (F-GRPY) ;Departed 13:56;Departure
14:13;HS510;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
14:14;HS511;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
14:14;W25145;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
14:15;SU2471;Moscow (SVO);Aeroflot ;A321 (VQ-BHK) ;Departed 14:07;Departure
14:15;W25147;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
14:20;AF7713;Paris (CDG);Air France ;A320 (F-GKXO) ;Departed 14:35;Departure
14:25;AF6219;Paris (ORY);Air France ;A318 (F-GUGN) ;Departed 14:28;Departure
14:25;U21681;Lille (LIL);easyJet ;A320 (OE-IJL) ;Departed 14:26;Departure
14:35;W63058;Bucharest (OTP);Wizz Air ;A321 (HA-LXA) ;Departed 14:47;Departure
14:43;HS512;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
