9:10;FR112;Dublin (DUB);Ryanair ;B738 (EI-FIY) ;Blabla;Arrival
9:10;U28870;Amsterdam (AMS);easyJet ;A319 (G-EZBX) ;Blabla;Arrival
9:15;WS3;Toronto (YYZ);WestJet ;B763 (C-GOGN) ;Blabla;Arrival
9:20;U28716;Lisbon (LIS);easyJet ;A319 (OE-LQX) ;Blabla;Arrival
9:25;BA2038;Orlando (MCO);British Airways ;B772 (G-YMMS) ;Blabla;Arrival
9:25;VS44;Las Vegas (LAS);Virgin Atlantic ;B744 (G-VAST) ;Blabla;Arrival
9:30;VS64;Havana (HAV);Virgin Atlantic ;B744 (G-VBIG) ;Blabla;Arrival
9:30;GR602;Guernsey (GCI);Aurigny Air Services ;AT75 (G-LERE) ;Blabla;Arrival
9:35;TK1981;Istanbul (IST);Turkish Airlines ;A321 (TC-JSU) ;Blabla;Arrival
9:40;U2832;Belfast (BFS);easyJet ;A320 (OE-IZW) ;Blabla;Arrival
9:45;TP336;Lisbon (LIS);TAP Air Portugal ;A319 (CS-TTR) ;Blabla;Arrival
9:50;BA2278;Oakland (OAK);British Airways ;B772 (G-YMMD) ;Blabla;Arrival
9:50;FR2714;Alicante (ALC);Ryanair ;B738 (EI-DAG) ;Blabla;Arrival
10:00;BA2272;New York (JFK);British Airways ;B772 (G-VIIO) ;Blabla;Arrival
10:05;TS122;Toronto (YYZ);Air Transat ;A333 (C-GTSO) ;Blabla;Arrival
10:10;CO540;Larnaca (LCA);Cobalt Air ;A320 (5B-DCZ) ;Blabla;Arrival
10:10;I23714;Madrid (MAD);Iberia Express ;A320 (EC-LYM) ;Blabla;Arrival
10:10;U2892;Jersey (JER);easyJet ;A319 (G-EZBV) ;Blabla;Arrival
10:15;DY1316;Bergen (BGO);Norwegian ;B738 (LN-NGQ) ;Blabla;Arrival
10:15;EI232;Dublin (DUB);Aer Lingus ;A320 (EI-DEJ) ;Blabla;Arrival
10:20;U2872;Aberdeen (ABZ);easyJet ;A319 (G-EZAA) ;Blabla;Arrival
10:25;WW810;Reykjavik (KEF);WOW air ;A321 (TF-GPA) ;Blabla;Arrival
10:34;WS22;Vancouver (YVR);WestJet ;B763 (C-FWAD) ;Blabla;Arrival
10:35;BA2787;Bordeaux (BOD);British Airways ;A319 (G-DBCK) ;Blabla;Arrival
10:40;D82921;Aalborg (AAL);Norwegian (Carl Nielsen livery) ;B738 (G-NRWY) ;Blabla;Arrival
10:40;U28350;Nice (NCE);easyJet ;A319 (G-EZIX) ;Blabla;Arrival
10:40;U28982;Munich (MUC);easyJet ;A320 (OE-IZB) ;Blabla;Arrival
10:45;D82901;Copenhagen (CPH);Norwegian ;B738 (EI-FVN) ;Blabla;Arrival
10:50;DI7152;Chicago (ORD);Norwegian ;B789 (G-CKWF) ;Blabla;Arrival
10:50;TK1963;Istanbul (SAW);Turkish Airlines ;B738 (TC-JHT) ;Blabla;Arrival
10:55;BA2771;Jersey (JER);British Airways ;A319 (G-DBCC) ;Blabla;Arrival
10:55;KM116;Luqa (MLA);Air Malta ;A320 (9H-AEP) ;Blabla;Arrival
11:00;DI7016;New York (JFK);Norwegian ;B789 (G-CKWD) ;Blabla;Arrival
11:00;BA2937;Edinburgh (EDI);British Airways ;A319 (G-DBCF) ;Blabla;Arrival
11:10;BA2759;Amsterdam (AMS);British Airways ;A319 (G-DBCD) ;Blabla;Arrival
11:10;BY4223;Reus (REU);TUI ;B738 (G-FDZS) ;Blabla;Arrival
11:10;TP334;Porto (OPO);TAP Air Portugal ;A319 (CS-TTD) ;Blabla;Arrival
11:10;U2852;Isle of Man (IOM);easyJet ;A319 (G-EZDJ) ;Blabla;Arrival
11:15;BA2957;Glasgow (GLA);British Airways ;A319 (G-EUPJ) ;Blabla;Arrival
11:20;GR604;Guernsey (GCI);Aurigny Air Services ;E195 (G-NSEY) ;Blabla;Arrival
11:20;U28122;Berlin (TXL);easyJet ;A319 (G-EZAK) ;Blabla;Arrival
11:20;U28724;Marseille (MRS);easyJet ;A319 (G-EZAO) ;Blabla;Arrival
11:25;PS111;Kiev (KBP);Ukraine International Airlines ;B738 (UR-UIB) ;Blabla;Arrival
11:25;U28192;Milan (MXP);easyJet ;A319 (G-EZAF) ;Blabla;Arrival
11:30;U28184;Milan (LIN);easyJet ;A319 (OE-LKI) ;Blabla;Arrival
11:35;U28660;Alicante (ALC);easyJet ;A320 (OE-IVX) ;Blabla;Arrival
11:40;U28424;Budapest (BUD);easyJet ;A319 (G-EZDD) ;Blabla;Arrival
11:45;FI470;Reykjavik (KEF);Icelandair ;B752 (TF-FIO) ;Blabla;Arrival
11:45;BY4289;Palma de Mallorca (PMI);TUI ;B738 (G-TAWM) ;Blabla;Arrival
11:45;U28224;Valencia (VLC);easyJet ;A319 (G-EZBZ) ;Blabla;Arrival
11:50;FR9852;Cork (ORK);Ryanair ;B738 (EI-EBY) ;Blabla;Arrival
11:50;U28164;Almeria (LEI);easyJet ;A319 (G-EZFL) ;Blabla;Arrival
11:50;U28266;Copenhagen (CPH);easyJet ;A320 (G-EZWF) ;Blabla;Arrival
11:55;BA2707;Barcelona (BCN);British Airways ;A320 (G-GATM) ;Blabla;Arrival
11:55;U28302;Mahon (MAH);easyJet ;A320 (G-EZTE) ;Blabla;Arrival
12:00;U28532;Naples (NAP);easyJet ;A319 (OE-LQA) ;Blabla;Arrival
12:00;U28990;Bologna (BLQ);easyJet ;A319 (G-EZDA) ;Blabla;Arrival
12:05;U28958;Vienna (VIE);easyJet ;A319 (G-EZAL) ;Blabla;Arrival
12:10;D82851;Stockholm (ARN);Norwegian ;B738 (EI-FJZ) ;Blabla;Arrival
12:10;U28916;Faro (FAO);SmartLynx ;A320 (ES-SAS) ;Blabla;Arrival
12:10;VK4050;Vienna (VIE);LEVEL ;A321 (OE-LCF) ;Blabla;Arrival
12:15;U28602;Malaga (AGP);easyJet ;A319 (G-EZBR) ;Blabla;Arrival
12:25;BA2623;Nice (NCE);British Airways ;A320 (G-MIDO) ;Blabla;Arrival
12:25;BE803;Newquay (NQY);Flybe ;E75S (G-FBJH) ;Blabla;Arrival
12:35;BA2631;Alicante (ALC);British Airways ;A320 (G-GATU) ;Blabla;Arrival
12:35;EK15;Dubai (DXB);Emirates ;A388 (A6-EDR) ;Blabla;Arrival
12:35;MT1217;Palma de Mallorca (PMI);Thomas Cook Airlines ;B753 (G-JMAB) ;Blabla;Arrival
12:35;U28252;Rome (FCO);easyJet ;A319 (G-EZIR) ;Blabla;Arrival
12:40;DI7074;Oakland (OAK);Norwegian ;B789 (G-CKWA) ;Blabla;Arrival
12:40;FR114;Dublin (DUB);Ryanair ;B738 (EI-GSH) ;Blabla;Arrival
12:40;U28244;Palermo (PMO);easyJet ;A319 (OE-LQO) ;Blabla;Arrival
12:45;BA2583;Venice (VCE);British Airways ;A319 (G-DBCE) ;Blabla;Arrival
12:45;U28572;Barcelona (BCN);easyJet ;A319 (OE-LQQ) ;Blabla;Arrival
12:55;BA2597;Verona (VRN);British Airways ;A320 (G-MIDS) ;Blabla;Arrival
12:55;U28752;Corfu (CFU);easyJet ;A320 (G-EZOM) ;Blabla;Arrival
12:55;3O101;Tangier (TNG);Air Arabia ;A320 (CN-NMM) ;Blabla;Arrival
13:05;D82903;Copenhagen (CPH);Norwegian ;B738 (EI-FVO) ;Blabla;Arrival
13:05;U28276;Madrid (MAD);easyJet ;A319 (G-EZAT) ;Blabla;Arrival
13:05;U28352;Nice (NCE);easyJet ;A319 (OE-LQW) ;Blabla;Arrival
13:10;BA2607;Naples (NAP);British Airways ;A320 (G-GATH) ;Blabla;Arrival
13:10;U28518;Dubrovnik (DBV);easyJet ;A320 (G-EZPB) ;Blabla;Arrival
13:20;U28092;Thessaloniki (SKG);easyJet ;A319 (G-EZEY) ;Blabla;Arrival
13:20;U28566;Catania (CTA);easyJet ;A320 (OE-IVD) ;Blabla;Arrival
13:20;U28620;Palma de Mallorca (PMI);easyJet ;A320 (G-EZOB) ;Blabla;Arrival
13:20;U28974;Sofia (SOF);easyJet ;A319 (G-EZGF) ;Blabla;Arrival
13:30;BA2713;Malaga (AGP);British Airways ;A320 (G-GATS) ;Blabla;Arrival
13:30;QR327;Doha (DOH);Qatar Airways ;B788 (A7-BCA) ;Blabla;Arrival
13:30;U28342;Hamburg (HAM);easyJet ;A319 (G-EZBX) ;Blabla;Arrival
13:30;U28902;Gibraltar (GIB);easyJet ;A319 (G-EZNM) ;Blabla;Arrival
